Aktuellezeit,Ort,Beschreibung,Aktuelletemperatur
2020-10-19 10:46:18.200342,Madrid,Überwiegend bewölkt,12.79°C
2020-10-19 10:47:18.300710,Salzburg,Mäßig bewölkt,8.23°C
2020-10-19 10:48:18.391499,Madrid,Überwiegend bewölkt,12.79°C
2020-10-19 10:49:18.480352,Salzburg,Mäßig bewölkt,8.23°C
2020-10-19 10:50:18.573495,Madrid,Überwiegend bewölkt,12.79°C
2020-10-19 10:51:18.660622,Salzburg,Mäßig bewölkt,8.23°C
2020-10-19 10:52:18.747478,Madrid,Überwiegend bewölkt,12.79°C
2020-10-19 10:53:18.831034,Salzburg,Mäßig bewölkt,8.23°C
2020-10-19 10:54:18.928047,Madrid,Überwiegend bewölkt,12.79°C
2020-10-19 10:55:19.021941,Salzburg,Mäßig bewölkt,8.23°C
2020-10-19 10:56:19.146284,Madrid,Überwiegend bewölkt,12.79°C
2020-10-19 10:57:19.260400,Salzburg,Mäßig bewölkt,8.42°C
2020-10-19 10:58:19.354151,Madrid,Überwiegend bewölkt,13.15°C
2020-10-19 10:59:19.448869,Salzburg,Mäßig bewölkt,8.42°C
2020-10-19 11:00:19.535796,Madrid,Überwiegend bewölkt,13.15°C
2020-10-19 11:01:19.630415,Salzburg,Mäßig bewölkt,8.42°C
2020-10-19 11:02:19.721511,Madrid,Überwiegend bewölkt,13.15°C
2020-10-19 11:03:19.809154,Salzburg,Mäßig bewölkt,8.42°C
2020-10-19 11:04:19.895364,Madrid,Überwiegend bewölkt,13.15°C
2020-10-19 11:05:19.978475,Salzburg,Mäßig bewölkt,8.42°C
2020-10-19 11:06:20.063097,Madrid,Überwiegend bewölkt,13.15°C
2020-10-19 11:07:20.196633,Salzburg,Mäßig bewölkt,8.42°C
2020-10-19 11:08:20.294219,Madrid,Überwiegend bewölkt,13.01°C
2020-10-19 11:09:20.393871,Salzburg,Mäßig bewölkt,7.72°C
2020-10-19 11:10:20.494786,Madrid,Überwiegend bewölkt,13.01°C
2020-10-19 11:11:20.694256,Salzburg,Mäßig bewölkt,7.72°C
2020-10-19 11:12:20.784375,Madrid,Überwiegend bewölkt,13.01°C
2020-10-19 11:13:20.873826,Salzburg,Mäßig bewölkt,7.72°C
2020-10-19 11:14:20.948421,Madrid,Überwiegend bewölkt,13.01°C
2020-10-19 11:15:21.035680,Salzburg,Mäßig bewölkt,7.72°C
2020-10-19 11:16:21.122280,Madrid,Überwiegend bewölkt,13.01°C
2020-10-19 11:17:21.218905,Salzburg,Mäßig bewölkt,7.72°C
2020-10-19 11:18:21.314193,Madrid,Überwiegend bewölkt,13.01°C
2020-10-19 11:19:21.645426,Salzburg,Mäßig bewölkt,7.72°C
2020-10-19 11:20:21.727337,Madrid,Überwiegend bewölkt,13.41°C
2020-10-19 11:21:21.924878,Salzburg,Mäßig bewölkt,7.72°C
2020-10-19 11:22:22.204772,Madrid,Überwiegend bewölkt,13.41°C
2020-10-19 11:23:22.280543,Salzburg,Mäßig bewölkt,7.72°C
2020-10-19 11:24:22.361354,Madrid,Überwiegend bewölkt,13.41°C
2020-10-19 11:25:22.575800,Salzburg,Mäßig bewölkt,7.72°C
2020-10-19 11:26:22.667575,Madrid,Überwiegend bewölkt,13.51°C
2020-10-19 11:27:22.748784,Salzburg,Mäßig bewölkt,7.85°C
2020-10-19 11:28:22.833169,Madrid,Überwiegend bewölkt,13.51°C
2020-10-19 11:29:22.913587,Salzburg,Mäßig bewölkt,7.85°C
2020-10-19 11:30:23.087034,Madrid,Überwiegend bewölkt,13.51°C
2020-10-19 11:31:23.178067,Salzburg,Mäßig bewölkt,7.85°C
2020-10-19 11:32:23.259622,Madrid,Überwiegend bewölkt,13.51°C
2020-10-19 11:33:23.340117,Salzburg,Mäßig bewölkt,7.85°C
2020-10-19 11:34:23.425286,Madrid,Überwiegend bewölkt,13.51°C
2020-10-19 11:35:23.509330,Salzburg,Mäßig bewölkt,7.85°C
2020-10-19 11:36:23.619169,Madrid,Überwiegend bewölkt,13.59°C
2020-10-19 11:37:23.708057,Salzburg,Mäßig bewölkt,7.97°C
2020-10-19 11:38:23.785464,Madrid,Überwiegend bewölkt,13.59°C
2020-10-19 11:39:23.866034,Salzburg,Mäßig bewölkt,7.97°C
2020-10-19 11:40:23.955514,Madrid,Überwiegend bewölkt,13.59°C
2020-10-19 11:41:24.041937,Salzburg,Mäßig bewölkt,7.97°C
2020-10-19 11:42:24.128672,Madrid,Überwiegend bewölkt,13.59°C
2020-10-19 11:43:24.223337,Salzburg,Mäßig bewölkt,7.97°C
2020-10-19 11:44:24.325277,Madrid,Überwiegend bewölkt,13.59°C
2020-10-19 11:45:24.411492,Salzburg,Mäßig bewölkt,7.97°C
2020-10-19 11:46:24.509721,Madrid,Überwiegend bewölkt,14.17°C
2020-10-19 11:47:24.629292,Salzburg,Mäßig bewölkt,8.25°C
2020-10-19 11:48:24.719752,Madrid,Überwiegend bewölkt,14.17°C
2020-10-19 11:49:24.799359,Salzburg,Mäßig bewölkt,8.25°C
2020-10-19 11:50:24.892203,Madrid,Überwiegend bewölkt,14.17°C
2020-10-19 11:51:24.972018,Salzburg,Mäßig bewölkt,8.25°C
2020-10-19 11:52:25.052445,Madrid,Überwiegend bewölkt,14.17°C
2020-10-19 11:53:25.145103,Salzburg,Mäßig bewölkt,8.25°C
2020-10-19 11:54:25.235020,Madrid,Überwiegend bewölkt,14.17°C
2020-10-19 11:55:25.354303,Salzburg,Mäßig bewölkt,8.25°C
2020-10-19 11:56:25.439596,Madrid,Überwiegend bewölkt,14.46°C
2020-10-19 11:57:25.598641,Salzburg,Mäßig bewölkt,8.62°C
2020-10-19 11:58:25.685229,Madrid,Überwiegend bewölkt,14.46°C
2020-10-19 11:59:25.769730,Salzburg,Mäßig bewölkt,8.62°C
2020-10-19 12:00:25.964518,Madrid,Überwiegend bewölkt,14.46°C
2020-10-19 12:01:26.051222,Salzburg,Mäßig bewölkt,8.62°C
2020-10-19 12:02:26.150393,Madrid,Überwiegend bewölkt,14.46°C
2020-10-19 12:03:26.239813,Salzburg,Mäßig bewölkt,8.62°C
2020-10-19 12:04:26.327342,Madrid,Überwiegend bewölkt,14.46°C
2020-10-19 12:05:26.434881,Salzburg,Mäßig bewölkt,8.62°C
2020-10-19 12:06:26.530068,Madrid,Überwiegend bewölkt,14.59°C
2020-10-19 12:07:26.638368,Salzburg,Mäßig bewölkt,8.89°C
2020-10-19 12:08:26.743355,Madrid,Überwiegend bewölkt,14.59°C
2020-10-19 12:09:26.848116,Salzburg,Mäßig bewölkt,8.89°C
2020-10-19 12:10:26.938435,Madrid,Überwiegend bewölkt,14.59°C
2020-10-19 12:11:27.021370,Salzburg,Mäßig bewölkt,8.89°C
2020-10-19 12:12:27.110324,Madrid,Überwiegend bewölkt,14.59°C
2020-10-19 12:13:27.199933,Salzburg,Mäßig bewölkt,8.89°C
2020-10-19 12:14:27.302153,Madrid,Überwiegend bewölkt,14.59°C
2020-10-19 12:21:07.670969,Salzburg,Mäßig bewölkt,9.44°C
2020-10-19 12:22:07.763213,Madrid,Überwiegend bewölkt,15.21°C
2020-10-19 12:23:07.901325,Salzburg,Mäßig bewölkt,9.44°C
2020-10-19 12:24:07.983521,Madrid,Überwiegend bewölkt,15.21°C
2020-10-19 12:25:08.078632,Salzburg,Mäßig bewölkt,9.44°C
2020-10-19 12:26:08.200301,Madrid,Überwiegend bewölkt,15.21°C
2020-10-19 12:27:08.276486,Salzburg,Mäßig bewölkt,9.44°C
2020-10-19 12:28:08.358669,Madrid,Überwiegend bewölkt,15.21°C
2020-10-19 12:29:08.466954,Salzburg,Mäßig bewölkt,9.44°C
2020-10-19 12:30:15.768283,Madrid,Überwiegend bewölkt,15.21°C
2020-10-19 12:31:15.844919,Salzburg,Mäßig bewölkt,9.44°C
2020-10-19 12:32:15.916232,Madrid,Überwiegend bewölkt,15.29°C
2020-10-19 12:33:16.051509,Salzburg,Mäßig bewölkt,9.44°C
2020-10-19 12:34:16.120504,Madrid,Überwiegend bewölkt,15.29°C
2020-10-19 12:35:16.200072,Salzburg,Mäßig bewölkt,9.44°C
2020-10-19 12:36:16.274283,Madrid,Überwiegend bewölkt,15.29°C
2020-10-19 12:37:16.361724,Salzburg,Mäßig bewölkt,9.44°C
2020-10-19 12:38:16.452879,Madrid,Überwiegend bewölkt,15.29°C
2020-10-19 12:39:16.576205,Salzburg,Mäßig bewölkt,9.44°C
2020-10-19 12:40:16.654170,Madrid,Überwiegend bewölkt,15.29°C
2020-10-19 12:41:16.736243,Salzburg,Mäßig bewölkt,9.82°C
2020-10-19 12:42:16.819697,Madrid,Überwiegend bewölkt,15.45°C
2020-10-19 12:43:16.902850,Salzburg,Mäßig bewölkt,9.82°C
2020-10-19 12:44:16.983940,Madrid,Überwiegend bewölkt,15.45°C
2020-10-19 12:45:17.060618,Salzburg,Mäßig bewölkt,9.82°C
2020-10-19 12:46:17.135736,Madrid,Überwiegend bewölkt,15.45°C
2020-10-19 12:47:17.223974,Salzburg,Mäßig bewölkt,9.82°C
2020-10-19 12:48:17.302403,Madrid,Überwiegend bewölkt,15.45°C
2020-10-19 12:49:17.380280,Salzburg,Mäßig bewölkt,9.82°C
2020-10-19 12:50:17.456917,Madrid,Überwiegend bewölkt,15.45°C
2020-10-19 12:51:17.584193,Salzburg,Mäßig bewölkt,10.37°C
2020-10-19 12:52:17.667276,Madrid,Überwiegend bewölkt,15.64°C
2020-10-19 12:53:17.753562,Salzburg,Mäßig bewölkt,10.37°C
2020-10-19 12:54:17.836185,Madrid,Überwiegend bewölkt,15.64°C
2020-10-19 12:55:17.909363,Salzburg,Mäßig bewölkt,10.37°C
2020-10-19 12:56:17.987038,Madrid,Überwiegend bewölkt,15.64°C
2020-10-19 12:57:18.094468,Salzburg,Mäßig bewölkt,10.37°C
2020-10-19 12:58:18.172267,Madrid,Überwiegend bewölkt,15.64°C
2020-10-19 12:59:18.346531,Salzburg,Mäßig bewölkt,10.37°C
2020-10-19 13:00:18.863177,Madrid,Überwiegend bewölkt,15.64°C
2020-10-19 13:01:18.938610,Salzburg,Mäßig bewölkt,10.93°C
2020-10-19 13:02:19.009703,Madrid,Überwiegend bewölkt,16.20°C
2020-10-19 13:03:19.099993,Salzburg,Mäßig bewölkt,10.93°C
2020-10-19 13:04:19.176853,Madrid,Überwiegend bewölkt,16.20°C
2020-10-19 13:05:19.263058,Salzburg,Mäßig bewölkt,10.93°C
2020-10-19 13:06:19.351266,Madrid,Überwiegend bewölkt,16.20°C
2020-10-19 13:07:19.433935,Salzburg,Mäßig bewölkt,10.93°C
2020-10-19 13:08:19.515205,Madrid,Überwiegend bewölkt,16.20°C
2020-10-19 13:09:19.613513,Salzburg,Mäßig bewölkt,10.93°C
2020-10-19 13:10:19.687743,Madrid,Überwiegend bewölkt,16.20°C
2020-10-19 13:11:19.770999,Salzburg,Mäßig bewölkt,11.30°C
2020-10-19 13:12:19.853359,Madrid,Überwiegend bewölkt,16.54°C
2020-10-19 13:13:19.946150,Salzburg,Mäßig bewölkt,11.30°C
2020-10-19 13:14:20.021815,Madrid,Überwiegend bewölkt,16.54°C
2020-10-19 13:15:20.095983,Salzburg,Mäßig bewölkt,11.30°C
2020-10-19 13:16:20.173224,Madrid,Überwiegend bewölkt,16.54°C
2020-10-19 13:17:20.250053,Salzburg,Mäßig bewölkt,11.30°C
2020-10-19 13:18:20.330813,Madrid,Überwiegend bewölkt,16.54°C
2020-10-19 13:19:20.404526,Salzburg,Mäßig bewölkt,11.30°C
2020-10-19 13:20:20.474736,Madrid,Überwiegend bewölkt,16.54°C
2020-10-19 13:21:20.556691,Salzburg,Mäßig bewölkt,11.50°C
2020-10-19 13:22:20.667112,Madrid,Überwiegend bewölkt,16.95°C
2020-10-19 13:23:20.769433,Salzburg,Mäßig bewölkt,11.50°C
2020-10-19 13:24:20.851990,Madrid,Überwiegend bewölkt,16.95°C
2020-10-19 13:25:20.925936,Salzburg,Mäßig bewölkt,11.50°C
2020-10-19 13:26:21.003914,Madrid,Überwiegend bewölkt,16.95°C
2020-10-19 15:04:12.629808,Salzburg,Mäßig bewölkt,11.93°C
2021-03-02 09:23:05.076306,Salzburg,Klarer Himmel,1.85°C
2021-03-02 09:24:05.165782,Madrid,Mäßig bewölkt,9.06°C
2021-03-03 08:11:41.541707,Salzburg,Klarer Himmel,2.13°C
2021-03-03 08:12:41.639108,Madrid,Klarer Himmel,8.28°C
2021-03-03 08:13:41.726186,Salzburg,Klarer Himmel,2.13°C
2021-03-03 08:14:41.809522,Madrid,Klarer Himmel,8.28°C
2021-03-03 08:15:41.898074,Salzburg,Klarer Himmel,2.13°C
2021-03-03 08:16:41.986033,Madrid,Klarer Himmel,8.28°C
2021-03-03 08:17:42.058794,Salzburg,Klarer Himmel,2.13°C
2021-03-03 08:18:42.148647,Madrid,Klarer Himmel,8.28°C
2021-03-03 08:19:42.240573,Salzburg,Klarer Himmel,2.13°C
2021-03-03 08:20:42.332889,Madrid,Klarer Himmel,8.28°C
2021-03-03 08:21:42.417128,Salzburg,Klarer Himmel,2.02°C
2021-03-03 08:22:42.520779,Madrid,Klarer Himmel,8.29°C
2021-03-03 08:23:42.617478,Salzburg,Klarer Himmel,2.02°C
2021-03-03 08:24:42.712222,Madrid,Klarer Himmel,8.29°C
2021-03-03 08:25:42.792180,Salzburg,Klarer Himmel,2.02°C
2021-03-03 08:26:42.873758,Madrid,Klarer Himmel,8.30°C
2021-03-03 08:28:22.903618,Salzburg,Klarer Himmel,2.89°C
2021-03-03 08:29:22.980963,Madrid,Klarer Himmel,8.30°C
2021-03-03 08:30:23.098122,Salzburg,Klarer Himmel,2.89°C
2021-03-03 08:31:23.169248,Madrid,Klarer Himmel,8.30°C
2021-03-03 08:32:23.257134,Salzburg,Klarer Himmel,2.89°C
2021-03-03 08:34:52.410115,Salzburg,Klarer Himmel,2.89°C
2021-03-03 08:35:52.550166,Mumbai,Rauch,32.61°C
2021-03-03 08:36:52.632596,Salzburg,Klarer Himmel,2.89°C
2021-03-03 08:37:52.729004,Mumbai,Rauch,32.61°C
2021-03-03 08:38:52.828172,Salzburg,Klarer Himmel,5.00°C
2021-03-03 08:39:52.915062,Mumbai,Rauch,32.61°C
2021-03-03 08:40:53.001948,Salzburg,Klarer Himmel,5.00°C
2021-03-03 08:41:53.097475,Mumbai,Rauch,32.61°C
2021-03-03 08:42:53.199427,Salzburg,Klarer Himmel,5.00°C
2021-03-03 08:43:53.288636,Mumbai,Rauch,32.61°C
2021-03-03 08:44:53.377656,Salzburg,Klarer Himmel,5.00°C
2021-03-03 08:45:53.485995,Mumbai,Rauch,33.03°C
2021-03-03 08:46:53.698458,Salzburg,Klarer Himmel,5.00°C
2021-03-03 08:47:53.802516,Mumbai,Rauch,33.03°C
2021-03-03 08:48:53.900350,Salzburg,Klarer Himmel,5.38°C
2021-03-03 08:49:54.007751,Mumbai,Rauch,33.03°C
2021-03-03 08:50:54.090889,Salzburg,Klarer Himmel,5.38°C
2021-03-03 08:51:54.178666,Mumbai,Rauch,33.03°C
2021-03-03 08:52:54.283495,Salzburg,Klarer Himmel,5.38°C
2021-03-03 08:53:54.365291,Mumbai,Rauch,33.03°C
2021-03-03 08:54:54.456359,Salzburg,Klarer Himmel,5.38°C
2021-03-03 08:55:54.551690,Mumbai,Rauch,33.03°C
2021-03-03 08:56:54.639525,Salzburg,Klarer Himmel,5.38°C
2021-03-03 08:57:54.731832,Mumbai,Rauch,33.03°C
2021-03-03 08:58:54.839409,Salzburg,Klarer Himmel,6.39°C
2021-03-03 08:59:54.929688,Mumbai,Rauch,33.03°C
2021-03-03 09:00:55.015350,Salzburg,Klarer Himmel,6.39°C
2021-03-03 09:01:55.186463,Mumbai,Rauch,33.03°C
2021-03-03 09:02:55.270368,Salzburg,Klarer Himmel,6.39°C
2021-03-03 09:03:55.372232,Mumbai,Rauch,33.03°C
2021-03-03 09:04:55.460512,Salzburg,Klarer Himmel,6.39°C
2021-03-03 09:05:55.591472,Mumbai,Rauch,33.09°C
2021-03-03 09:06:55.685600,Salzburg,Klarer Himmel,6.39°C
2021-03-03 09:07:55.771389,Mumbai,Rauch,33.09°C
2021-03-03 09:08:55.874172,Salzburg,Klarer Himmel,6.83°C
2021-03-03 09:09:55.962393,Mumbai,Rauch,33.09°C
2021-03-03 09:10:56.058776,Salzburg,Klarer Himmel,6.83°C
2021-03-03 09:11:56.149023,Mumbai,Rauch,33.09°C
2021-03-03 09:12:56.251575,Salzburg,Klarer Himmel,6.83°C
2021-03-03 09:13:56.351125,Mumbai,Rauch,33.09°C
2021-03-03 09:14:56.467355,Salzburg,Klarer Himmel,6.83°C
2021-03-03 09:15:56.595977,Mumbai,Rauch,33.06°C
2021-03-03 09:16:56.685425,Salzburg,Klarer Himmel,6.83°C
2021-03-03 09:17:56.794206,Mumbai,Rauch,33.06°C
2021-03-03 09:18:56.894430,Salzburg,Klarer Himmel,6.37°C
2021-03-03 09:19:56.979610,Mumbai,Rauch,33.06°C
2021-03-03 09:20:57.076202,Salzburg,Klarer Himmel,6.37°C
2021-03-03 09:21:57.173091,Mumbai,Rauch,33.06°C
2021-03-03 09:22:57.268129,Salzburg,Klarer Himmel,6.37°C
2021-03-03 09:23:57.385388,Mumbai,Rauch,33.06°C
2021-03-03 09:24:57.479231,Salzburg,Klarer Himmel,6.37°C
2021-03-03 09:25:57.599846,Mumbai,Rauch,33.52°C
2021-03-03 09:26:57.699793,Salzburg,Klarer Himmel,6.37°C
2021-03-03 09:27:57.787318,Mumbai,Rauch,33.52°C
2021-03-03 09:28:57.923957,Salzburg,Klarer Himmel,6.21°C
2021-03-03 09:29:58.033070,Mumbai,Rauch,33.52°C
2021-03-03 09:30:58.126347,Salzburg,Klarer Himmel,6.21°C
2021-03-03 09:31:58.219853,Mumbai,Rauch,33.52°C
2021-03-03 09:32:58.311177,Salzburg,Klarer Himmel,6.21°C
2021-03-03 09:33:58.410751,Mumbai,Rauch,33.52°C
2021-03-03 09:34:58.508543,Salzburg,Klarer Himmel,6.21°C
2021-03-03 09:35:58.605438,Mumbai,Rauch,33.52°C
2021-03-03 09:36:58.706281,Salzburg,Klarer Himmel,6.21°C
2021-03-03 09:37:58.956985,Mumbai,Rauch,33.52°C
2021-03-03 09:38:59.061350,Salzburg,Klarer Himmel,6.21°C
2021-03-03 09:39:59.262230,Mumbai,Rauch,33.52°C
2021-03-03 09:40:59.368651,Salzburg,Klarer Himmel,8.56°C
2021-03-03 09:41:59.464641,Mumbai,Rauch,33.52°C
2021-03-03 09:42:59.551375,Salzburg,Klarer Himmel,8.56°C
2021-03-03 09:43:59.648516,Mumbai,Rauch,33.52°C
2021-03-03 09:44:59.739517,Salzburg,Klarer Himmel,8.56°C
2021-03-03 09:45:59.837172,Mumbai,Rauch,33.52°C
2021-03-03 09:46:59.927697,Salzburg,Klarer Himmel,8.56°C
2021-03-03 09:48:00.035685,Mumbai,Rauch,33.52°C
2021-03-03 09:49:00.119033,Salzburg,Klarer Himmel,8.56°C
2021-03-03 09:50:00.359889,Mumbai,Rauch,34.52°C
2021-03-03 09:51:00.482761,Salzburg,Klarer Himmel,8.59°C
2021-03-03 09:52:00.578252,Mumbai,Rauch,34.52°C
2021-03-03 09:53:00.699297,Salzburg,Klarer Himmel,8.59°C
2021-03-03 09:54:00.783920,Mumbai,Rauch,34.52°C
2021-03-03 09:55:00.882286,Salzburg,Klarer Himmel,8.59°C
2021-03-03 09:56:00.996421,Mumbai,Rauch,34.52°C
2021-03-03 09:57:01.121608,Salzburg,Klarer Himmel,8.59°C
2021-03-03 09:58:01.216603,Mumbai,Rauch,34.52°C
2021-03-03 09:59:01.303354,Salzburg,Klarer Himmel,8.59°C
2021-03-03 10:00:03.672799,Mumbai,Rauch,34.52°C
2021-03-03 10:01:03.870691,Salzburg,Klarer Himmel,8.72°C
2021-03-03 10:02:03.960908,Mumbai,Rauch,34.52°C
2021-03-03 10:03:04.061450,Salzburg,Klarer Himmel,8.72°C
2021-03-03 10:04:04.154386,Mumbai,Rauch,34.52°C
2021-03-03 10:05:04.252932,Salzburg,Klarer Himmel,8.72°C
2021-03-03 10:06:04.354647,Mumbai,Rauch,34.52°C
2021-03-03 10:07:04.459365,Salzburg,Klarer Himmel,8.72°C
2021-03-03 10:08:04.565879,Mumbai,Rauch,34.52°C
2021-03-03 10:09:04.667778,Salzburg,Klarer Himmel,8.72°C
2021-03-03 10:10:04.882817,Mumbai,Rauch,34.52°C
2021-03-03 10:11:04.976694,Salzburg,Klarer Himmel,8.72°C
2021-03-03 10:12:05.074616,Mumbai,Rauch,34.52°C
2021-03-03 10:13:05.172229,Salzburg,Klarer Himmel,8.72°C
2021-03-03 10:14:05.276605,Mumbai,Rauch,34.52°C
2021-03-03 10:15:05.371381,Salzburg,Klarer Himmel,8.72°C
2021-03-03 10:16:05.479779,Mumbai,Rauch,34.52°C
2021-03-03 10:17:05.566247,Salzburg,Klarer Himmel,8.72°C
2021-03-03 10:18:05.649178,Mumbai,Rauch,34.52°C
2021-03-03 10:19:05.736906,Salzburg,Klarer Himmel,8.72°C
2021-03-03 10:20:05.859201,Mumbai,Rauch,35.52°C
2021-03-03 10:21:05.982513,Salzburg,Klarer Himmel,9.10°C
